timestamp,ticker,title,status,closes,yes_bid,yes_ask,no_bid,no_ask,implied_p_yes,volume_24h,open_interest,liquidity
2026-01-09T23:36:44.770248,KXGREENTERRITORY-29,Will the United States acquire any part of Greenland before 2029?,active,2029-01-21T15:00:00Z,41,43,57,59,0.42,79447,437199,454373.2000
2026-01-09T23:38:09.961885,KXGREENTERRITORY-29,Will the United States acquire any part of Greenland before 2029?,active,2029-01-21T15:00:00Z,41,43,57,59,0.42,79447,437199,454361.4000
